metric_id,scope,source_table,source_field,raw_denominator,present_count,valid_count,serving_denominator,serving_present_count,type_specific_universe,type_specific_denominator,type_specific_present_count,rankable_denominator,unit_status,zero_policy,ranking_policy,cross_product_policy,policy_state,notes
bond.deposit_equivalent_yield_154,bond,PRBD01N001,DEPO_EQUIV_YIELD_154,42394,881,881,42394,881,bond_with_value,881,881,0,PERCENTAGE_POINT_PENDING,FIELD_POLICY_REQUIRED,BLOCKED_PENDING_SEMANTICS,BLOCKED,OPEN,154 meaning OPEN
bond.buyable_quantity,bond,PRBD01N001,BUYABLE_QUANTITY,42394,881,OPEN,42394,881,bond_positive_buyable,325,325,325,COUNT,ZERO_UNKNOWN,ALLOWED_POSITIVE_ONLY,BLOCKED,OPEN,556 zero and 325 positive
bond.remaining_days_raw,bond,PRBD01N001,REMAINING_DAYS,42394,31749,OPEN,42394,31749,bond_with_value,31749,31749,31749,DAYS,ZERO_UNKNOWN,ALLOWED_WITH_FIELD_AS_OF,BLOCKED,OPEN,not remaining days at 2026-07-11
bond.duration,bond,PRBD01N001,DUR,42394,29018,OPEN,42394,29018,bond_with_value,29018,29018,29018,YEARS_PENDING,ZERO_UNKNOWN,ALLOWED_WITH_COVERAGE,BLOCKED,OPEN,
bond.convexity,bond,PRBD01N001,COV,42394,29018,OPEN,42394,29018,bond_with_value,29018,29018,0,UNIT_PENDING,ZERO_UNKNOWN,BLOCKED_PENDING_UNIT,BLOCKED,OPEN,
bond.evaluation_price,bond,PRBD01N001,EVAL_PRICE,42394,31823,OPEN,42394,31823,bond_with_value,31823,31823,31823,PRICE_PENDING,ZERO_UNKNOWN,ALLOWED_WITH_COVERAGE_AND_DATE,BLOCKED,OPEN,not realtime
bond.applied_yield,bond,PRBD01N001,APPLIED_YIELD,42394,31823,OPEN,42394,31823,bond_with_value,31823,31823,OPEN,PERCENTAGE_POINT_PENDING,FIELD_POLICY_REQUIRED,ALLOWED_WITH_OUTLIER_REVIEW,BLOCKED,OPEN,max 787.327 and exclusion threshold OPEN
domestic_etp.other_expense_ratio,domestic_etp,PREF01N001,cu_charge_etc_rt,1734,1553,0,1733,1553,serving_etp,1733,1553,0,PERCENTAGE_POINT_PENDING,UNUSABLE_CONSTANT,BLOCKED_CONSTANT,BLOCKED,LOCKED,all present values zero
domestic_etp.base_index,domestic_etp,PREF01N001,cu_base_index,1734,58,58,1733,58,serving_etp,1733,58,0,TEXT,NOT_APPLICABLE,BLOCKED_LOW_COVERAGE,BLOCKED,LOCKED,coverage 3.35 percent
domestic_etp.expense_ratio,domestic_etp,PREF01N001,cu_charge_rt,1734,217,OPEN,1733,217,serving_etf,1201,217,67,PERCENTAGE_POINT_PENDING,ZERO_UNKNOWN,ALLOWED_SOURCE_LITERAL,BLOCKED,OPEN,source-literal rank; 150 zeros excluded pending zero policy and ETN has no values
domestic_etp.tracking_error,domestic_etp,PREF01N001,du_chas_errt,1734,1551,0,1733,1551,serving_etp,1733,1551,0,PERCENTAGE_POINT_PENDING,UNUSABLE_CONSTANT,BLOCKED_CONSTANT,BLOCKED,LOCKED,all present values zero
domestic_etp.discrepancy_rate,domestic_etp,PREF01N001,du_diff_rt,1734,1517,0,1733,1517,serving_etp,1733,1517,0,PERCENTAGE_POINT_PENDING,UNUSABLE_CONSTANT,BLOCKED_CONSTANT,BLOCKED,LOCKED,all present values zero
domestic_etp.return_1d,domestic_etp,PREF01N001,du_er_1d,1734,1562,OPEN,1733,1562,serving_etf,1201,1148,1148,PERCENTAGE_POINT_PENDING,ZERO_VALID_PENDING,ALLOWED_WITH_COVERAGE,BLOCKED,OPEN,ETN present 414
domestic_etp.return_1m,domestic_etp,PREF01N001,du_er_1m,1734,1540,OPEN,1733,1540,serving_etf,1201,1118,OPEN,PERCENTAGE_POINT_PENDING,SENTINEL_MINUS_100_OPEN,ALLOWED_WITH_OUTLIER_REVIEW,BLOCKED,OPEN,ETF has 3 values of minus100
domestic_etp.return_3m,domestic_etp,PREF01N001,du_er_3m,1734,1505,OPEN,1733,1505,serving_etf,1201,1084,OPEN,PERCENTAGE_POINT_PENDING,SENTINEL_MINUS_100_OPEN,ALLOWED_WITH_OUTLIER_REVIEW,BLOCKED,OPEN,ETF has 7 values of minus100
domestic_etp.return_6m,domestic_etp,PREF01N001,du_er_6m,1734,1476,OPEN,1733,1476,serving_etf,1201,1059,OPEN,PERCENTAGE_POINT_PENDING,SENTINEL_MINUS_100_OPEN,ALLOWED_WITH_OUTLIER_REVIEW,BLOCKED,OPEN,ETF has 11 values of minus100
domestic_etp.return_1y,domestic_etp,PREF01N001,du_er_1y,1734,1377,OPEN,1733,1377,serving_etf,1201,986,OPEN,PERCENTAGE_POINT_PENDING,SENTINEL_MINUS_100_OPEN,ALLOWED_WITH_OUTLIER_REVIEW,BLOCKED,OPEN,ETF coverage 82.10 percent and 34 values of minus100
domestic_etp.return_ytd,domestic_etp,PREF01N001,du_er_ytd,1734,1477,OPEN,1733,1477,serving_etf,1201,1066,OPEN,PERCENTAGE_POINT_PENDING,SENTINEL_MINUS_100_OPEN,ALLOWED_WITH_OUTLIER_REVIEW,BLOCKED,OPEN,ETF has 8 values of minus100 and same as-of required
domestic_etp.aum_last,domestic_etp,PREF01N001,du_last_aum,1734,1453,OPEN,1733,1453,serving_etf,1201,1044,OPEN,KRW_PENDING,ZERO_UNKNOWN,TYPE_CONDITIONAL,BLOCKED,OPEN,ETF has 2 zeros and ETN 409 present values all zero
domestic_etp.nav_last,domestic_etp,PREF01N001,du_last_nav,1734,1551,1551,1733,1551,serving_etf,1201,1142,1142,KRW_PRICE_PENDING,FIELD_POLICY_REQUIRED,ALLOWED_WITH_COVERAGE,BLOCKED,OPEN,
domestic_etp.net_assets,domestic_etp,PREF01N001,pd_net_tamt,1734,1551,1551,1733,1551,serving_etf,1201,1142,1142,KRW_PENDING,FIELD_POLICY_REQUIRED,ALLOWED_WITH_COVERAGE,BLOCKED,OPEN,AUM canonical priority OPEN
domestic_etp.close_price,domestic_etp,PREF01N001,du_clpr,1734,1729,OPEN,1733,1729,serving_etf,1201,1198,1198,KRW_PRICE_PENDING,ZERO_UNKNOWN,ALLOWED_WITH_DATE,BLOCKED,OPEN,not realtime
domestic_etp.volume_1d,domestic_etp,PREF01N001,du_vol_1d,1734,1729,1729,1733,1729,serving_etf,1201,1198,1198,COUNT,ZERO_VALID_PENDING,ALLOWED_WITH_DATE,BLOCKED,OPEN,
overseas_etp.expense_ratio,overseas_etp,PREF02N001,cu_charge_rt,5646,5646,OPEN,5638,5638,serving_etf,5579,5579,5275,PERCENTAGE_POINT_PENDING,ZERO_UNKNOWN,ALLOWED_SOURCE_LITERAL,BLOCKED,OPEN,source-literal rank; serving ETF has 304 zeros and ETN has 51 excluded pending zero policy
overseas_etp.return_1d,overseas_etp,PREF02N001,du_er_1d,5646,5388,0,5638,5388,serving_etf,5579,5329,0,PERCENTAGE_POINT_PENDING,UNUSABLE_CONSTANT,BLOCKED_CONSTANT,BLOCKED,LOCKED,all present values zero
overseas_etp.return_1m,overseas_etp,PREF02N001,NONE,5646,0,0,5638,0,serving_etf,5579,0,0,UNAVAILABLE,NOT_APPLICABLE,UNAVAILABLE,BLOCKED,LOCKED,source field absent
overseas_etp.return_3m,overseas_etp,PREF02N001,NONE,5646,0,0,5638,0,serving_etf,5579,0,0,UNAVAILABLE,NOT_APPLICABLE,UNAVAILABLE,BLOCKED,LOCKED,source field absent
overseas_etp.return_6m,overseas_etp,PREF02N001,NONE,5646,0,0,5638,0,serving_etf,5579,0,0,UNAVAILABLE,NOT_APPLICABLE,UNAVAILABLE,BLOCKED,LOCKED,source field absent
overseas_etp.return_1y,overseas_etp,PREF02N001,NONE,5646,0,0,5638,0,serving_etf,5579,0,0,UNAVAILABLE,NOT_APPLICABLE,UNAVAILABLE,BLOCKED,LOCKED,source field absent
overseas_etp.return_ytd,overseas_etp,PREF02N001,NONE,5646,0,0,5638,0,serving_etf,5579,0,0,UNAVAILABLE,NOT_APPLICABLE,UNAVAILABLE,BLOCKED,LOCKED,source field absent
overseas_etp.aum_last,overseas_etp,PREF02N001,du_last_aum,5646,5459,OPEN,5638,5451,serving_etf,5579,5395,5395,CURRENCY_CONTEXT_REQUIRED,ZERO_UNKNOWN,ALLOWED_WITH_CURRENCY,BLOCKED,OPEN,no zero remains in serving and no cross currency rank
overseas_etp.nav_last,overseas_etp,PREF02N001,du_last_nav,5646,682,682,5638,682,serving_etf,5579,654,654,PRODUCT_CURRENCY_PENDING,FIELD_POLICY_REQUIRED,ALLOWED_WITH_COVERAGE,BLOCKED,OPEN,
overseas_etp.discrepancy_rate,overseas_etp,PREF02N001,du_diff_rt,5646,3,3,5638,3,serving_etf,5579,3,0,PERCENTAGE_POINT_PENDING,ZERO_UNKNOWN,BLOCKED_LOW_COVERAGE,BLOCKED,LOCKED,coverage 0.05 percent
overseas_etp.close_price,overseas_etp,PREF02N001,du_clpr,5646,5636,5636,5638,5636,serving_etf,5579,5577,5577,TRADING_CURRENCY,FIELD_POLICY_REQUIRED,ALLOWED_WITH_OUTLIER_REVIEW,BLOCKED,OPEN,not realtime; source scale/decimal rule requires briefing confirmation because extreme values are preserved
overseas_etp.volume_1d,overseas_etp,PREF02N001,du_vol_1d,5646,5636,5636,5638,5636,serving_etf,5579,5577,5577,COUNT,ZERO_VALID_PENDING,ALLOWED_WITH_DATE,BLOCKED,OPEN,
fund.net_assets,fund,PRFD01N001,fd_nast_suma,11139,9290,OPEN,11138,9290,fund_normal_product,11138,9290,OPEN,KRW_PENDING,ZERO_UNKNOWN,ALLOWED_WITH_COVERAGE,BLOCKED,OPEN,298 zeros and product-level dedupe
fund.return_1w,fund,PRFD01N001,fd_wk1_ern_r,11139,7600,OPEN,11138,7600,fund_normal_product,11138,7600,7600,PERCENTAGE_POINT_PENDING,ZERO_VALID_PENDING,ALLOWED_WITH_COVERAGE,BLOCKED,OPEN,
fund.return_1m,fund,PRFD01N001,fd_mm1_ern_r,11139,7570,OPEN,11138,7570,fund_normal_product,11138,7570,7570,PERCENTAGE_POINT_PENDING,ZERO_VALID_PENDING,ALLOWED_WITH_COVERAGE,BLOCKED,OPEN,
fund.return_3m,fund,PRFD01N001,fd_mm3_ern_r,11139,7497,OPEN,11138,7497,fund_normal_product,11138,7497,7497,PERCENTAGE_POINT_PENDING,ZERO_VALID_PENDING,ALLOWED_WITH_COVERAGE,BLOCKED,OPEN,
fund.return_6m,fund,PRFD01N001,fd_mm6_ern_r,11139,7340,OPEN,11138,7340,fund_normal_product,11138,7340,7340,PERCENTAGE_POINT_PENDING,ZERO_VALID_PENDING,ALLOWED_WITH_COVERAGE,BLOCKED,OPEN,
fund.return_18m,fund,PRFD01N001,fd_mm18_ern_r,11139,6879,OPEN,11138,6879,fund_normal_product,11138,6879,OPEN,PERCENTAGE_POINT_PENDING,ZERO_VALID_PENDING,ALLOWED_WITH_OUTLIER_REVIEW,BLOCKED,OPEN,min minus3593.02 and threshold OPEN
fund.return_1y,fund,PRFD01N001,fd_yr1_ern_r,11139,7017,OPEN,11138,7017,fund_normal_product,11138,7017,OPEN,PERCENTAGE_POINT_PENDING,ZERO_VALID_PENDING,ALLOWED_WITH_OUTLIER_REVIEW,INTRA_SCOPE_ONLY,OPEN,min minus92.57 and max 975.10
fund.return_2y,fund,PRFD01N001,fd_yr2_ern_r,11139,6360,OPEN,11138,6360,fund_normal_product,11138,6360,OPEN,PERCENTAGE_POINT_PENDING,ZERO_VALID_PENDING,ALLOWED_WITH_OUTLIER_REVIEW,BLOCKED,OPEN,min minus3675.44
fund.return_3y,fund,PRFD01N001,fd_yr3_ern_r,11139,6102,OPEN,11138,6102,fund_normal_product,11138,6102,OPEN,PERCENTAGE_POINT_PENDING,ZERO_VALID_PENDING,ALLOWED_WITH_OUTLIER_REVIEW,BLOCKED,OPEN,min minus4381.56
fund.return_5y,fund,PRFD01N001,fd_yr5_ern_r,11139,5580,OPEN,11138,5580,fund_normal_product,11138,5580,OPEN,PERCENTAGE_POINT_PENDING,ZERO_VALID_PENDING,ALLOWED_WITH_OUTLIER_REVIEW,BLOCKED,OPEN,min minus4254.75
fund.risk_grade,fund,PRFD01N001,zrin_fd_ivst_risk_grd_nm,11139,8565,8565,11138,8565,fund_normal_product,11138,8565,0,RISK_SCALE,NOT_APPLICABLE,BLOCKED_PENDING_ORDER,BLOCKED,OPEN,coverage 0.768989 and scale order OPEN
fund.expense_ratio,fund,PRFD01N001,NONE,11139,0,0,11138,0,fund_normal_product,11138,0,0,UNAVAILABLE,NOT_APPLICABLE,UNAVAILABLE,BLOCKED,LOCKED,source field absent
