term_ko,canonical_target,target_kind,scope,match_policy,ambiguity_policy,notes
전략,strategy,FIELD,domestic_etp|overseas_etp,EXACT,SCOPE_REQUIRED,
배수,domestic_etp.leverage_factor,METRIC,domestic_etp,EXACT,UNAVAILABLE_OVERSEAS,
레버리지,leverage_factor,METRIC,domestic_etp|overseas_etp,EXACT,UNAVAILABLE_OVERSEAS,
인버스,overseas_etp.inverse_short_flag,FILTER,overseas_etp,EXACT,DO_NOT_INFER_FACTOR,
총보수,expense_ratio,METRIC,domestic_etp|overseas_etp|fund,EXACT,UNAVAILABLE_FUND_AND_BLOCKED_ETP,
보수,expense_ratio,METRIC,domestic_etp|overseas_etp|fund,EXACT,UNAVAILABLE_FUND_AND_BLOCKED_ETP,
비용,expense_ratio,METRIC,domestic_etp|overseas_etp|fund,EXACT,CLARIFY_TOTAL_OR_OTHER_EXPENSE,
기타비용,domestic_etp.other_expense_ratio,METRIC,domestic_etp,EXACT,UNUSABLE_CONSTANT,
추적오차,domestic_etp.tracking_error,METRIC,domestic_etp,EXACT,UNUSABLE_CONSTANT,
괴리율,discrepancy_rate,METRIC,domestic_etp|overseas_etp,EXACT,BLOCKED_BY_DATA_QUALITY,
AUM,aum_last,METRIC,domestic_etp|overseas_etp,CASE_INSENSITIVE,SCOPE_AND_CURRENCY_REQUIRED,
운용자산,aum_last,METRIC,domestic_etp|overseas_etp,EXACT,SCOPE_AND_CURRENCY_REQUIRED,
순자산,net_assets,METRIC,domestic_etp|fund,EXACT,SCOPE_REQUIRED,
순자산총액,net_assets,METRIC,domestic_etp|fund,EXACT,SCOPE_REQUIRED,
펀드순자산,fund.net_assets,METRIC,fund,EXACT,NONE,
NAV,nav_last,METRIC,domestic_etp|overseas_etp,CASE_INSENSITIVE,SCOPE_AND_CURRENCY_REQUIRED,
기준가,base_price,METRIC,domestic_etp|overseas_etp,EXACT,SCOPE_REQUIRED,
종가,close_price,METRIC,domestic_etp|overseas_etp,EXACT,NOT_REALTIME,
현재가,realtime_price,METRIC,domestic_etp|overseas_etp,EXACT,UNAVAILABLE_OR_NOT_REALTIME,
실시간가격,realtime_price,METRIC,domestic_etp|overseas_etp,EXACT,UNAVAILABLE,
거래량,volume_1d,METRIC,domestic_etp|overseas_etp,EXACT,NOT_REALTIME,
거래대금,trading_value_1d,METRIC,domestic_etp|overseas_etp,EXACT,NOT_REALTIME,
1일수익률,return_1d,METRIC,domestic_etp|overseas_etp,EXACT,OVERSEAS_UNUSABLE_CONSTANT,
일간수익률,return_1d,METRIC,domestic_etp|overseas_etp,EXACT,OVERSEAS_UNUSABLE_CONSTANT,
1주수익률,fund.return_1w,METRIC,fund,EXACT,NONE,
주간수익률,fund.return_1w,METRIC,fund,EXACT,NONE,
1개월수익률,return_1m,METRIC,domestic_etp|fund,EXACT,UNAVAILABLE_OVERSEAS,
한달수익률,return_1m,METRIC,domestic_etp|fund,EXACT,UNAVAILABLE_OVERSEAS,
3개월수익률,return_3m,METRIC,domestic_etp|fund,EXACT,UNAVAILABLE_OVERSEAS,
6개월수익률,return_6m,METRIC,domestic_etp|fund,EXACT,UNAVAILABLE_OVERSEAS,
18개월수익률,fund.return_18m,METRIC,fund,EXACT,NONE,
1년수익률,return_1y,METRIC,domestic_etp|fund,EXACT,UNAVAILABLE_OVERSEAS_AND_NO_CROSS_SCOPE,
연간수익률,return_1y,METRIC,domestic_etp|fund,EXACT,CLARIFY_HORIZON,
2년수익률,fund.return_2y,METRIC,fund,EXACT,NONE,
3년수익률,fund.return_3y,METRIC,fund,EXACT,NONE,
5년수익률,fund.return_5y,METRIC,fund,EXACT,NONE,
YTD수익률,domestic_etp.return_ytd,METRIC,domestic_etp,CASE_INSENSITIVE,SAME_AS_OF_REQUIRED,
연초이후수익률,domestic_etp.return_ytd,METRIC,domestic_etp,EXACT,SAME_AS_OF_REQUIRED,
수익률,return,METRIC,all,EXACT,REQUIRE_HORIZON_AND_SCOPE,
수익,return,METRIC,all,EXACT,REQUIRE_HORIZON_AND_SCOPE,
환헤지,fund.currency_hedge_flag,FIELD,fund,EXACT,COVERAGE_WARNING,
헤지,fund.currency_hedge_flag,FIELD,fund,EXACT,CLARIFY_CURRENCY_HEDGE_OR_HEDGE_FUND,
헤지펀드,fund.hedge_fund_flag,FIELD,fund,EXACT,UNUSABLE_CONSTANT,
판매중인,product.sale_status,FILTER,all,NORMALIZED_EXACT,SCOPE_SPECIFIC_VALUE_MAPPING,
가장높은,sort_desc,OPERATOR,all,EXACT,REQUIRE_METRIC,
높은순,sort_desc,OPERATOR,all,EXACT,REQUIRE_METRIC,
내림차순,sort_desc,OPERATOR,all,EXACT,REQUIRE_METRIC,
가장낮은,sort_asc,OPERATOR,all,EXACT,REQUIRE_METRIC,
낮은순,sort_asc,OPERATOR,all,EXACT,REQUIRE_METRIC,
오름차순,sort_asc,OPERATOR,all,EXACT,REQUIRE_METRIC,
상위,rank_top,OPERATOR,all,EXACT,REQUIRE_LIMIT_AND_METRIC,
하위,rank_bottom,OPERATOR,all,EXACT,REQUIRE_LIMIT_AND_METRIC,
비교,compare,OPERATOR,all,EXACT,REQUIRE_TWO_OR_MORE_PRODUCTS,
평균,avg,AGGREGATE,all,EXACT,REQUIRE_METRIC_AND_VALID_DENOMINATOR,
합계,sum,AGGREGATE,all,EXACT,REQUIRE_ADDITIVE_METRIC,
개수,count,AGGREGATE,all,EXACT,COUNT_LOGICAL_PRODUCTS_NOT_RAW_ROWS,
몇개,count,AGGREGATE,all,NORMALIZED_EXACT,COUNT_LOGICAL_PRODUCTS_NOT_RAW_ROWS,
전체,all,SCOPE,all,EXACT,CLARIFY_IF_CROSS_PRODUCT_METRIC,
추천,recommend,INTENT,all,EXACT,SAFETY_LIMITED_NO_DEFINITIVE_RECOMMENDATION,
예측,forecast,INTENT,all,EXACT,SAFETY_LIMITED_NO_UNSUPPORTED_FORECAST,
전망,forecast,INTENT,all,EXACT,SAFETY_LIMITED_NO_UNSUPPORTED_FORECAST,
실시간,realtime,INTENT,all,EXACT,UNAVAILABLE_FROM_SNAPSHOT,
