dataset_id,column_name,schema_type,column_name_ko,schema_example,total_rows,nonblank_count,coverage_ratio,blank_count,whitespace_only_count,sentinel_null_count,numeric_parseable_count,zero_count,negative_count,unique_count,numeric_min,numeric_max,date_like_min,date_like_max,sample_values,top_values
PRBD01N001,AVG_ANNUAL_TAX_YIELD,double precision,,,42394,881,0.020781,41513,0,0,881,881,0,1,0,0,,,[0],"[[""0"", 881]]"
PRBD01N001,DEPO_EQUIV_YIELD_154,double precision,,,42394,881,0.020781,41513,0,0,881,0,1,828,-1.361,7.1923,,,"[3.5952, 3.6915, 3.7762]","[[""3.7762"", 2], [""2.3297"", 2], [""3.1034"", 2], [""3.3356"", 2], [""3.7978"", 2], [""4.0706"", 2], [""3.5952"", 1], [""3.6915"", 1], [""3.7922"", 1], [""3.0381"", 1]]"
PRBD01N001,BUYABLE_QUANTITY,double precision,,,42394,881,0.020781,41513,0,0,881,556,0,295,0,12323631000,,,"[27568000, 0, 2000000000]","[[""0"", 556], [""1000"", 19], [""10000000"", 7], [""50000000"", 4], [""40000000"", 2], [""3000"", 2], [""100000000"", 2], [""27568000"", 1], [""2000000000"", 1], [""2473000"", 1]]"
PRBD01N001,REMAINING_DAYS,double precision,,,42394,31749,0.748903,10645,0,0,31749,7805,0,3942,0,20920,,,"[0, 4, 35]","[[""0"", 7805], [""549"", 75], [""65"", 71], [""430"", 60], [""157"", 59], [""59"", 59], [""126"", 55], [""35"", 52], [""369"", 52], [""491"", 51]]"
PRBD01N001,DUR,double precision,,,42394,29018,0.684484,13376,0,0,29018,8268,0,>10000,0,99,,,"[0, 0.0094, 0.0939]","[[""0"", 8268], [""0.0939"", 22], [""0.0094"", 21], [""0.122"", 14], [""0.0937"", 7], [""0.0377"", 6], [""0.0081"", 5], [""0.175"", 4], [""0.4235"", 4], [""2.9389"", 3]]"
PRBD01N001,COV,double precision,,,42394,29018,0.684484,13376,0,0,29018,8326,0,>10000,0,2499,,,"[0, 0.0046, 0.0588]","[[""0"", 8326], [""0.0046"", 25], [""0.004"", 9], [""0.0115"", 7], [""0.0595"", 4], [""0.1951"", 4], [""0.3404"", 3], [""0.0588"", 2], [""0.1307"", 2], [""0.472"", 2]]"
PRBD01N001,NDY_DUR,double precision,,,42394,29018,0.684484,13376,0,0,29018,8600,0,>10000,0,99,,,"[0, 0.0072, 0.0922]","[[""0"", 8600], [""0.0922"", 35], [""0.0072"", 21], [""0.6691"", 20], [""0.8324"", 20], [""0.1356"", 7], [""0.0357"", 5], [""0.2865"", 5], [""0.1736"", 4], [""0.3386"", 4]]"
PRBD01N001,NDY_COV,double precision,,,42394,29018,0.684484,13376,0,0,29018,8646,0,>10000,0,2499,,,"[0, 0.0018, 0.0437]","[[""0"", 8646], [""0.0018"", 34], [""0.0437"", 31], [""0.0027"", 9], [""0.0079"", 8], [""0.1832"", 3], [""0.4314"", 2], [""0.7567"", 2], [""2.3379"", 2], [""2.8475"", 2]]"
PRBD01N001,EVAL_PRICE,double precision,,,42394,31823,0.750649,10571,0,0,31823,57,0,>10000,0,414569.54829425,,,"[10510, 10340, 10507.27]","[[""10000"", 2848], [""0"", 57], [""10112.5"", 12], [""10510"", 11], [""9983.22"", 5], [""10131.25"", 5], [""10212.5"", 5], [""10010.33"", 4], [""10056.25"", 4], [""10047.52"", 4]]"
PRBD01N001,APPLIED_YIELD,double precision,,,42394,31823,0.750649,10571,0,0,31823,1289,2,3851,-0.415,787.327,,,"[2.834, 2.821, 2.703]","[[""0"", 1289], [""2.942"", 46], [""3.605"", 40], [""2.868"", 37], [""2.94"", 37], [""2.77"", 34], [""2.495"", 34], [""2.572"", 33], [""2.814"", 33], [""2.585"", 33]]"
PRBD01N001,DIRTY,double precision,,,42394,29018,0.684484,13376,0,0,29018,10,0,>10000,0,77323.08,,,"[10510, 10507.27, 10484.57]","[[""10000"", 733], [""10510"", 13], [""10112.5"", 13], [""0"", 10], [""10212.5"", 6], [""9983.22"", 5], [""10131.25"", 5], [""10137.5"", 4], [""10010.33"", 4], [""10056.25"", 4]]"
PRBD01N001,NDY_EVAL_PRICE,double precision,,,42394,29018,0.684484,13376,0,0,29018,8505,0,>10000,0,77342.91,,,"[0, 10508, 10485.29]","[[""0"", 8505], [""10007.07"", 4], [""10003.48"", 3], [""10067.79"", 3], [""10034.32"", 3], [""10048.42"", 3], [""10419.17"", 2], [""10073.74"", 2], [""10024.47"", 2], [""10065.92"", 2]]"
PRBD01N001,NDY_APPLIED_YIELD,double precision,,,42394,29018,0.684484,13376,0,0,29018,8869,1,2944,-0.295,787.327,,,"[0, 2.521, 2.529]","[[""0"", 8869], [""2.942"", 42], [""3.537"", 38], [""3.605"", 37], [""3.213"", 36], [""3.407"", 32], [""2.868"", 30], [""3.621"", 30], [""2.814"", 29], [""3.497"", 28]]"
PRBD01N001,NDY_DIRTY,double precision,,,42394,29018,0.684484,13376,0,0,29018,8505,0,>10000,0,77342.91,,,"[0, 10508, 10485.29]","[[""0"", 8505], [""10007.07"", 4], [""10003.48"", 3], [""10067.79"", 3], [""10034.32"", 3], [""10048.42"", 3], [""10419.17"", 2], [""10073.74"", 2], [""10024.47"", 2], [""10065.92"", 2]]"
PRBD01N001,CRD_GRD,text,,,42394,24750,0.583809,17644,0,0,0,0,0,20,,,,,"[""AAA"", ""AA+"", ""AA0""]","[[""AAA"", 12240], [""AA-"", 4939], [""AA+"", 3191], [""AA0"", 1713], [""A+"", 906], [""A0"", 904], [""A-"", 345], [""BBB+"", 206], [""C0"", 137], [""BBB0"", 116]]"
PRBD01N001,CRD_GRD_DT,double precision,,,42394,27565,0.65021,14829,0,0,27565,2,0,2318,0,20260609,20071129,20260609,"[20251113, 20260130, 20241025]","[[""20260130"", 159], [""20250612"", 133], [""20251106"", 117], [""20250124"", 116], [""20251113"", 98], [""20241025"", 86], [""20251024"", 68], [""20250724"", 67], [""20250421"", 66], [""20260102"", 63]]"
PREF01N001,cu_base_index,text,기초지수,,1734,58,0.033449,1676,1551,0,0,0,0,19,,,,,"[""종합채권 3개월~1년"", ""MSCI ACWI CR 50% + 종합채권01Y 50%"", ""KOSPI200""]","[[""종합채권 3개월~1년"", 14], [""KOSPI200"", 9], [""MSCI ACWI"", 6], [""종합채권 1~2년"", 6], [""MSCI NORTH AMERICA"", 4], [""MSCI ACWI CR 50% + 종합채권01Y 50%"", 3], [""MSCI ACWI Information Technology"", 2], [""KAP CD 6개월  90%"", 2], [""MSCI CHINA"", 2], [""KRX 미디어통신"", 1]]"
PREF01N001,cu_charge_etc_rt,text,기타비용요율,,1734,1553,0.895617,181,0,0,1553,1553,0,1,0,0,,,"[""0""]","[[""0"", 1553]]"
PREF01N001,cu_charge_rt,text,총보수요율,,1734,217,0.125144,1517,0,0,217,150,0,17,0,0.64,,,"[""0.49"", ""0"", ""0.4""]","[[""0"", 150], [""0.4"", 21], [""0.49"", 19], [""0.52"", 10], [""0.15"", 4], [""0.35"", 2], [""0.08"", 1], [""0.59"", 1], [""0.1"", 1], [""0.19"", 1]]"
PREF01N001,cu_fund_mgmt_co,text,운용사,,1734,1734,1.0,0,0,0,0,0,0,97,,,,,"[""미래에셋"", ""키움증권(주)"", ""NH-Amundi""]","[[""삼성"", 224], [""미래에셋"", 193], [""KB"", 147], [""한국투자"", 114], [""메리츠증권 주식회사"", 92], [""한화"", 86], [""신한"", 80], [""키움"", 77], [""신한투자증권 주식회사"", 71], [""한국투자증권(주)"", 70]]"
PREF01N001,cu_lev_fector,text,배수,,1734,1551,0.894464,183,0,0,1551,0,181,9,-3,3,,,"[""1"", ""2"", ""-2""]","[[""1"", 1169], [""2"", 190], [""-2"", 105], [""-1"", 65], [""3"", 9], [""-3"", 7], [""-0.5"", 3], [""1.5"", 2], [""-1.5"", 1]]"
PREF01N001,cu_strtegy,text,운용전략,,1734,1579,0.910611,155,0,0,0,0,0,4,,,,,"[""실물복제"", ""C"", ""합성복제""]","[[""실물복제"", 745], [""C"", 409], [""액티브"", 343], [""합성복제"", 82]]"
PREF01N001,cu_upt_dt,text,변동갱신일자,,1734,1551,0.894464,183,0,0,1551,0,0,11,20260409,20260615,20260409,20260615,"[""20260615"", ""20260511"", ""20260429""]","[[""20260615"", 1517], [""20260520"", 8], [""20260601"", 5], [""20260511"", 4], [""20260429"", 4], [""20260522"", 4], [""20260420"", 3], [""20260608"", 2], [""20260409"", 2], [""20260421"", 1]]"
PREF01N001,du_bpr,numeric,기준가,9915.00,1734,1729,0.997116,5,0,0,1729,168,0,1403,0.00,1074750.00,,,"[""13675.00"", ""7990.00"", ""7860.00""]","[[""0.00"", 168], [""12985.00"", 3], [""11910.00"", 3], [""14385.00"", 3], [""15670.00"", 3], [""8450.00"", 3], [""15970.00"", 3], [""10080.00"", 3], [""11715.00"", 3], [""7455.00"", 2]]"
PREF01N001,du_chas_errt,numeric,추적오차율,0.26,1734,1551,0.894464,183,0,0,1551,1551,0,1,0.00,0.00,,,"[""0.00""]","[[""0.00"", 1551]]"
PREF01N001,du_clpr,numeric,종가,9915.00,1734,1729,0.997116,5,0,0,1729,167,0,1415,0.00,1074835.00,,,"[""13615.00"", ""8160.00"", ""7865.00""]","[[""0.00"", 167], [""10100.00"", 4], [""10675.00"", 4], [""13850.00"", 3], [""8570.00"", 3], [""2330.00"", 3], [""18450.00"", 3], [""7155.00"", 2], [""13075.00"", 2], [""11915.00"", 2]]"
PREF01N001,du_diff_rt,numeric,괴리율,1.44,1734,1517,0.874856,217,0,0,1517,1517,0,1,0.00,0.00,,,"[""0.00""]","[[""0.00"", 1517]]"
PREF01N001,du_er_1d,numeric,수익률_1D,-0.44,1734,1562,0.900807,172,0,0,1562,78,311,817,-18.11,22.43,,,"[""-0.44"", ""2.13"", ""0.06""]","[[""0.00"", 78], [""0.01"", 21], [""0.13"", 8], [""0.83"", 8], [""0.85"", 8], [""1.06"", 7], [""1.68"", 6], [""1.04"", 5], [""2.63"", 5], [""5.60"", 5]]"
PREF01N001,du_er_1m,numeric,수익률_1M,0.58,1734,1540,0.88812,194,0,0,1540,54,588,1153,-100.00,50.76,,,"[""1.38"", ""-13.79"", ""-2.66""]","[[""0.00"", 54], [""-100.00"", 20], [""0.18"", 10], [""0.23"", 9], [""0.08"", 6], [""0.85"", 4], [""1.61"", 4], [""0.25"", 4], [""16.69"", 4], [""1.10"", 4]]"
PREF01N001,du_er_1y,numeric,수익률_1Y,17.10,1734,1377,0.794118,357,0,0,1377,14,404,1219,-100.00,2738.95,,,"[""11.14"", ""-13.56"", ""-0.19""]","[[""-100.00"", 98], [""0.00"", 14], [""2.70"", 3], [""-0.19"", 2], [""-1.38"", 2], [""38.98"", 2], [""37.26"", 2], [""-70.56"", 2], [""25.38"", 2], [""-0.26"", 2]]"
PREF01N001,du_er_3m,numeric,수익률_3M,-0.03,1734,1505,0.867935,229,0,0,1505,46,487,1250,-100.00,350.19,,,"[""0.63"", ""-29.32"", ""-4.09""]","[[""0.00"", 46], [""-100.00"", 37], [""0.63"", 7], [""0.72"", 6], [""0.71"", 5], [""0.62"", 4], [""0.04"", 4], [""6.90"", 3], [""-1.96"", 3], [""2.74"", 3]]"
PREF01N001,du_er_6m,numeric,수익률_6M,9.41,1734,1476,0.851211,258,0,0,1476,35,476,1275,-100.00,818.57,,,"[""1.72"", ""-27.79"", ""-12.61""]","[[""-100.00"", 53], [""0.00"", 35], [""1.39"", 5], [""1.40"", 4], [""-0.24"", 3], [""1.05"", 3], [""1.64"", 3], [""1.72"", 2], [""4.01"", 2], [""9.22"", 2]]"
PREF01N001,du_er_ytd,numeric,수익률_YTD,2.88,1734,1477,0.851788,257,0,0,1477,38,443,1281,-100.00,701.69,,,"[""3.54"", ""-26.65"", ""-11.78""]","[[""-100.00"", 44], [""0.00"", 38], [""1.14"", 8], [""1.24"", 6], [""1.27"", 4], [""9.26"", 3], [""9.73"", 3], [""24.69"", 2], [""42.07"", 2], [""16.92"", 2]]"
PREF01N001,du_hpr,numeric,고가,9979.00,1734,1729,0.997116,5,0,0,1729,219,0,1387,0.00,1074835.00,,,"[""13650.00"", ""8230.00"", ""7935.00""]","[[""0.00"", 219], [""10675.00"", 3], [""21190.00"", 2], [""11950.00"", 2], [""14375.00"", 2], [""17785.00"", 2], [""12380.00"", 2], [""18495.00"", 2], [""10565.00"", 2], [""17000.00"", 2]]"
PREF01N001,du_last_aum,numeric,최종AUM,60720672000.00,1734,1453,0.837947,281,0,0,1453,411,0,1043,0.00,28359162742500.00,,,"[""239236725000.00"", ""0.00"", ""708124075500.00""]","[[""0.00"", 411], [""239236725000.00"", 1], [""708124075500.00"", 1], [""16744960000.00"", 1], [""1870904184000.00"", 1], [""143865856000.00"", 1], [""36630110000.00"", 1], [""18140234000.00"", 1], [""160385733000.00"", 1], [""127408950000.00"", 1]]"
PREF01N001,du_last_nav,numeric,최종NAV,9873.28,1734,1551,0.894464,183,0,0,1551,0,0,1537,14.55,1074635.23,,,"[""13670.67"", ""8145.34"", ""7777.31""]","[[""13380.73"", 2], [""1506.50"", 2], [""42266.46"", 2], [""13670.67"", 1], [""8145.34"", 1], [""7777.31"", 1], [""20931.20"", 1], [""96438.36"", 1], [""7114.34"", 1], [""44958.08"", 1]]"
PREF01N001,du_lpr,numeric,시가,9905.00,1734,1729,0.997116,5,0,0,1729,219,0,1388,0.00,1074830.00,,,"[""13560.00"", ""8095.00"", ""7795.00""]","[[""0.00"", 219], [""13560.00"", 3], [""7795.00"", 3], [""10675.00"", 3], [""3630.00"", 3], [""13200.00"", 3], [""10005.00"", 3], [""14800.00"", 3], [""7050.00"", 2], [""14985.00"", 2]]"
PREF01N001,du_nav_rnf_amt,numeric,전일NAV등락금액,-161.91,1734,1517,0.874856,217,0,0,1517,1,1299,1502,-1074635.23,35657.47,,,"[""-13670.67"", ""176.00"", ""-7777.31""]","[[""35.12"", 2], [""-21.59"", 2], [""-766.21"", 2], [""-8157.48"", 2], [""-13670.67"", 1], [""176.00"", 1], [""-7777.31"", 1], [""-20931.20"", 1], [""-96438.36"", 1], [""-245.21"", 1]]"
PREF01N001,du_nav_yday,numeric,전일NAV,10035.19,1734,1517,0.874856,217,0,0,1517,0,0,1504,12.41,1074635.23,,,"[""13670.67"", ""7969.34"", ""7777.31""]","[[""13345.61"", 2], [""1528.09"", 2], [""50423.94"", 2], [""13670.67"", 1], [""7969.34"", 1], [""7777.31"", 1], [""20931.20"", 1], [""96438.36"", 1], [""7359.55"", 1], [""44958.08"", 1]]"
PREF01N001,du_upt_dt,timestamp without time zone,일간갱신일자,20260225,1734,1517,0.874856,217,0,0,0,0,0,1,,,20260615,20260615,"[""2026-06-15 00:00:00""]","[[""2026-06-15 00:00:00"", 1517]]"
PREF01N001,du_val_1d,numeric,일거래대금,810630570.00,1734,1729,0.997116,5,0,0,1729,255,0,1475,0.00,2954894832243.00,,,"[""1127563999.00"", ""3605210.00"", ""6268212166.00""]","[[""0.00"", 255], [""1127563999.00"", 1], [""3605210.00"", 1], [""6268212166.00"", 1], [""198043874.00"", 1], [""101589995922.00"", 1], [""13669545.00"", 1], [""2585449097.00"", 1], [""416809199.00"", 1], [""29975.00"", 1]]"
PREF01N001,du_val_1m,numeric,일거래대금평균_1M,847009967.75,1734,1694,0.976932,40,0,0,1694,204,0,1491,0.00,3068646617382.65,,,"[""1481358349.10"", ""16201691.25"", ""9504943879.95""]","[[""0.00"", 204], [""1481358349.10"", 1], [""16201691.25"", 1], [""9504943879.95"", 1], [""160335035.55"", 1], [""24450986246.75"", 1], [""101121801.65"", 1], [""1641952931.70"", 1], [""432611989.10"", 1], [""9128878.00"", 1]]"
PREF01N001,du_val_5d,numeric,일거래대금평균_5D,683306859.40,1734,1729,0.997116,5,0,0,1729,233,0,1497,0.00,2649650947844.60,,,"[""1168756083.20"", ""16536908.00"", ""5828427296.40""]","[[""0.00"", 233], [""1168756083.20"", 1], [""16536908.00"", 1], [""5828427296.40"", 1], [""182147473.80"", 1], [""32525435043.20"", 1], [""44366748.80"", 1], [""1659604635.40"", 1], [""393826843.60"", 1], [""24027.00"", 1]]"
PREF01N001,du_vol_1d,numeric,일거래량,81758.00,1734,1729,0.997116,5,0,0,1729,255,0,1365,0.00,6109020945.00,,,"[""82836.00"", ""443.00"", ""797435.00""]","[[""0.00"", 255], [""1.00"", 21], [""2.00"", 8], [""5.00"", 6], [""10.00"", 6], [""7.00"", 5], [""21.00"", 4], [""6.00"", 4], [""28.00"", 3], [""112.00"", 3]]"
PREF01N001,du_vol_avg_1m,numeric,거래량평균_1M,87324.85,1734,1696,0.978085,38,0,0,1696,204,0,1489,0.00,9342240793.30,,,"[""109219.75"", ""1998.05"", ""1174539.10""]","[[""0.00"", 204], [""109219.75"", 1], [""1998.05"", 1], [""1174539.10"", 1], [""7601.30"", 1], [""253578.40"", 1], [""11745.95"", 1], [""33427.00"", 1], [""25727.65"", 1], [""608.40"", 1]]"
PREF01N001,du_vol_avg_5d,numeric,거래량평균_5D,69132.40,1734,1729,0.997116,5,0,0,1729,233,0,1469,0.00,8983542191.80,,,"[""85775.60"", ""2086.80"", ""741412.40""]","[[""0.00"", 233], [""0.40"", 5], [""1.60"", 4], [""1.20"", 3], [""0.60"", 3], [""1.00"", 2], [""21.20"", 2], [""14.20"", 2], [""85775.60"", 1], [""2086.80"", 1]]"
PREF01N001,nru_mkt_diff_rt,numeric,괴리율,0.00,1734,0,0.0,1734,0,0,0,0,0,0,,,,,[],[]
