canonical_field,scopes,source_table,source_field,data_type,allowed_ops,filter_state,sort_state,notes
domestic_etp.expense_ratio,domestic_etp,PREF01N001,cu_charge_rt,decimal,eq|gt|gte|lt|lte|between,ALLOWED,BLOCKED_PENDING_ZERO,217 values; 150 zeros
domestic_etp.aum_last,domestic_etp,PREF01N001,du_last_aum,decimal,eq|gt|gte|lt|lte|between,ALLOWED,TYPE_CONDITIONAL,ETN 409 values all zero
domestic_etp.base_index,domestic_etp,PREF01N001,cu_base_index,string,eq|contains|starts_with,ALLOWED,BLOCKED,58 values
overseas_etp.trading_currency,overseas_etp,PREF02N001,pd_trd_ccy,string,eq|in,ALLOWED,ALLOWED,separate from product currency
overseas_etp.product_currency,overseas_etp,PREF02N001,pd_curr_cd,string,eq|in,ALLOWED,ALLOWED,separate from trading currency
overseas_etp.expense_ratio,overseas_etp,PREF02N001,cu_charge_rt,decimal,eq|gt|gte|lt|lte|between,ALLOWED,BLOCKED_PENDING_ZERO,363 zeros raw
overseas_etp.aum_last,overseas_etp,PREF02N001,du_last_aum,decimal,eq|gt|gte|lt|lte|between,ALLOWED,CURRENCY_FILTER_REQUIRED,5459 values
overseas_etp.nav_last,overseas_etp,PREF02N001,du_last_nav,decimal,eq|gt|gte|lt|lte|between,ALLOWED,ALLOWED_WITH_COVERAGE,682 values
overseas_etp.return_1d,overseas_etp,PREF02N001,du_er_1d,decimal,eq|gt|gte|lt|lte|between,BLOCKED_CONSTANT,BLOCKED_CONSTANT,5388 values all zero
overseas_etp.discrepancy_rate,overseas_etp,PREF02N001,du_diff_rt,decimal,eq|gt|gte|lt|lte|between,BLOCKED_LOW_COVERAGE,BLOCKED_LOW_COVERAGE,3 values
fund.net_assets,fund,PRFD01N001,fd_nast_suma,decimal,eq|gt|gte|lt|lte|between,ALLOWED,ALLOWED_WITH_COVERAGE,9290/11138
fund.return_1y,fund,PRFD01N001,fd_yr1_ern_r,decimal,eq|gt|gte|lt|lte|between,ALLOWED,ALLOWED_WITH_OUTLIER_REVIEW,7017/11138
fund.return_3y,fund,PRFD01N001,fd_yr3_ern_r,decimal,eq|gt|gte|lt|lte|between,ALLOWED,ALLOWED_WITH_OUTLIER_REVIEW,6102/11138
fund.risk_grade,fund,PRFD01N001,zrin_fd_ivst_risk_grd_nm,string,eq|in,ALLOWED,BLOCKED_PENDING_ORDER,8565/11138
fund.expense_ratio,fund,PRFD01N001,,decimal,,UNAVAILABLE,UNAVAILABLE,source field absent
