metric_id,display_name_ko,scope,source_table,source_field,coverage_count,coverage_ratio,period,unit_status,zero_policy,ranking_allowed,cross_product_allowed,quality_status,notes
domestic_etp.volume_1d,일거래량,domestic_etp,PREF01N001,du_vol_1d,1729,0.997116,1d,COUNT,ZERO_VALID_PENDING,true,false,USABLE_WITH_DATE,"실시간 아님"
overseas_etp.expense_ratio,총보수,overseas_etp,PREF02N001,cu_charge_rt,5646,1.000000,annual,PERCENTAGE_POINT_PENDING,ZERO_UNKNOWN,false,false,PENDING_ZERO_POLICY,"0값 363·순위/교차비교 잠금"
overseas_etp.return_1d,1일수익률,overseas_etp,PREF02N001,du_er_1d,5388,0.954304,1d,PERCENTAGE_POINT_PENDING,UNUSABLE_CONSTANT,false,false,UNUSABLE_CONSTANT,"유효값 5,388 전부 0"
overseas_etp.return_1y,1년수익률,overseas_etp,PREF02N001,,0,0.000000,1y,UNAVAILABLE,NOT_APPLICABLE,false,false,UNAVAILABLE,"원본에 1년 수익률 field 없음"
overseas_etp.aum_last,최종AUM,overseas_etp,PREF02N001,du_last_aum,5459,0.966879,point_in_time,CURRENCY_CONTEXT_REQUIRED,ZERO_UNKNOWN,true,false,USABLE_WITH_CURRENCY,"국내 KRW AUM과 직접 비교 금지"
overseas_etp.nav_last,최종NAV,overseas_etp,PREF02N001,du_last_nav,682,0.120793,point_in_time,CURRENCY_CONTEXT_REQUIRED,FIELD_POLICY_REQUIRED,true,false,SEVERELY_PARTIAL,"coverage 12.08%"
overseas_etp.discrepancy_rate,괴리율,overseas_etp,PREF02N001,du_diff_rt,3,0.000531,point_in_time,PERCENTAGE_POINT_PENDING,ZERO_UNKNOWN,false,false,SEVERELY_PARTIAL,"유효 3건뿐이므로 비교·순위 잠금"
overseas_etp.close_price,종가,overseas_etp,PREF02N001,du_clpr,5636,0.998229,point_in_time,TRADING_CURRENCY,FIELD_POLICY_REQUIRED,true,false,USABLE_WITH_DATE,"가격 기준일이 오래된 사례 있음"
overseas_etp.volume_1d,일거래량,overseas_etp,PREF02N001,du_vol_1d,5636,0.998229,1d,COUNT,ZERO_VALID_PENDING,true,false,USABLE_WITH_DATE,"0값 187"
fund.net_assets,펀드순자산,fund,PRFD01N001,fd_nast_suma,9290,0.834081,point_in_time,KRW_PENDING,ZERO_UNKNOWN,true,false,PARTIAL_PRODUCT_LEVEL,"정상 itm_no 11,138 기준·0값 298·교차비교 잠금"
fund.return_1w,1주수익률,fund,PRFD01N001,fd_wk1_ern_r,7600,0.682349,1w,PERCENTAGE_POINT_PENDING,ZERO_VALID_PENDING,true,false,PARTIAL_PRODUCT_LEVEL,"정상 itm_no 기준"
fund.return_1m,1개월수익률,fund,PRFD01N001,fd_mm1_ern_r,7570,0.679655,1m,PERCENTAGE_POINT_PENDING,ZERO_VALID_PENDING,true,false,PARTIAL_PRODUCT_LEVEL,"정상 itm_no 기준"
fund.return_3m,3개월수익률,fund,PRFD01N001,fd_mm3_ern_r,7497,0.673101,3m,PERCENTAGE_POINT_PENDING,ZERO_VALID_PENDING,true,false,PARTIAL_PRODUCT_LEVEL,"정상 itm_no 기준"
fund.return_6m,6개월수익률,fund,PRFD01N001,fd_mm6_ern_r,7340,0.659005,6m,PERCENTAGE_POINT_PENDING,ZERO_VALID_PENDING,true,false,PARTIAL_PRODUCT_LEVEL,"정상 itm_no 기준"
fund.return_18m,18개월수익률,fund,PRFD01N001,fd_mm18_ern_r,6879,0.617615,18m,PERCENTAGE_POINT_PENDING,ZERO_VALID_PENDING,true,false,PARTIAL_WITH_OUTLIER_REVIEW,"-3593.02 등 이상치"
fund.return_1y,1년수익률,fund,PRFD01N001,fd_yr1_ern_r,7017,0.630005,1y,PERCENTAGE_POINT_PENDING,ZERO_VALID_PENDING,true,false,PARTIAL_WITH_OUTLIER_REVIEW,"국내 ETP와 교차비교는 단위·기준일 확인 전 잠금"
fund.return_2y,2년수익률,fund,PRFD01N001,fd_yr2_ern_r,6360,0.571018,2y,PERCENTAGE_POINT_PENDING,ZERO_VALID_PENDING,true,false,PARTIAL_WITH_OUTLIER_REVIEW,"-3675.44 등 이상치"
fund.return_3y,3년수익률,fund,PRFD01N001,fd_yr3_ern_r,6102,0.547854,3y,PERCENTAGE_POINT_PENDING,ZERO_VALID_PENDING,true,false,PARTIAL_WITH_OUTLIER_REVIEW,"-4381.56 등 이상치"
fund.return_5y,5년수익률,fund,PRFD01N001,fd_yr5_ern_r,5580,0.500988,5y,PERCENTAGE_POINT_PENDING,ZERO_VALID_PENDING,true,false,PARTIAL_WITH_OUTLIER_REVIEW,"-4254.75 등 이상치"
fund.risk_grade,펀드위험등급,fund,PRFD01N001,zrin_fd_ivst_risk_grd_nm,8565,0.768989,point_in_time,RISK_SCALE,NOT_APPLICABLE,false,false,PENDING_ORDER_POLICY,"정상 itm_no 11,138 중 결측 2,573·척도 확인 전 순위 잠금"
fund.expense_ratio,펀드보수,fund,PRFD01N001,,0,0.000000,annual,UNAVAILABLE,NOT_APPLICABLE,false,false,UNAVAILABLE,"원본에 비용·보수 field 없음"
